key_0,cust_number,Notes,buisness_year,total_open_amount,due_term,baseline_create_date_day,due_in_date_day,baseline_create_date_month,due_in_date_month,due_in_date_year,document_create_date.1_day,document_create_date.1_month,document_create_date.1_year,business_code_enc,cust_payment_terms_enc,document_type_enc,Predicted_delay,due_in_date,predicted_payment_date,BUCKET_DAYS,bucket_id,name_customer,invoice_id
13,200712105,Lorem,2020,52207.46,15,2,17,3,3,2020,2,3,2020,1,15,0,1,2020-03-17,2020-03-18,(0-15) Days,1,WALG in,1930593562.0
14,200769623,Lorem,2020,49044.59,15,21,5,3,4,2020,21,3,2020,1,28,0,1,2020-04-05,2020-04-06,(0-15) Days,1,WAL-MAR trust,1930670919.0
15,200769623,Lorem,2020,429.51,15,11,26,3,3,2020,11,3,2020,1,28,0,1,2020-03-26,2020-03-27,(0-15) Days,1,WAL-MAR ,1930632961.0
16,200769623,Lorem,2020,271.58,15,14,29,3,3,2020,14,3,2020,1,28,0,1,2020-03-29,2020-03-30,(0-15) Days,1,WAL-MAR us,1930647652.0
17,200900909,Lorem,2020,18607.03,20,28,19,2,3,2020,28,2,2020,1,22,0,1,2020-03-19,2020-03-20,(0-15) Days,1,SYSCO associates,1930557390.0
18,200786288,Lorem,2020,13398.35,15,16,31,3,3,2020,16,3,2020,1,20,0,1,2020-03-31,2020-04-01,(0-15) Days,1,FAMILY corporation,1930652563.0
19,200794332,Lorem,2020,28465.61,15,10,25,4,4,2020,10,4,2020,1,17,0,1,2020-04-25,2020-04-26,(0-15) Days,1,COST corp,1930758548.0
20,200886415,Lorem,2020,3047.94,15,5,20,3,3,2020,5,3,2020,1,15,0,1,2020-03-20,2020-03-21,(0-15) Days,1,COSTCO systems,1930579949.0
21,200769623,Lorem,2020,63725.85,15,11,26,3,3,2020,11,3,2020,1,28,0,1,2020-03-26,2020-03-27,(0-15) Days,1,WAL-MAR ,1930638096.0
22,200769623,Lorem,2020,26290.49,15,30,15,4,5,2020,30,4,2020,1,28,0,1,2020-05-15,2020-05-16,(0-15) Days,1,WAL-MAR foundation,1930839255.0
23,200793568,Lorem,2020,62641.68,15,6,21,4,4,2020,6,4,2020,1,15,0,1,2020-04-21,2020-04-22,(0-15) Days,1,SUPE foundation,1930752922.0
24,200769623,Lorem,2020,27496.82,15,8,23,5,5,2020,8,5,2020,1,28,0,1,2020-05-23,2020-05-24,(0-15) Days,1,WAL-MAR corporation,1930877224.0
25,200794332,Lorem,2020,18273.21,15,23,8,4,5,2020,23,4,2020,1,17,0,1,2020-05-08,2020-05-09,(0-15) Days,1,COST associates,1930801263.0
26,200793568,Lorem,2020,31351.72,15,31,15,3,4,2020,31,3,2020,1,15,0,1,2020-04-15,2020-04-16,(0-15) Days,1,SUPE systems,1930726879.0
27,200230690,Lorem,2020,3931.83,10,16,26,4,4,2020,21,4,2020,1,30,0,1,2020-04-26,2020-04-27,(0-15) Days,1,DECA in,1930806428.0
28,100036292,Lorem,2020,17882.92,16,31,16,3,4,2020,31,3,2020,1,13,0,1,2020-04-16,2020-04-17,(0-15) Days,1,AMY corp,1930725625.0
29,200744019,Lorem,2020,81634.48,15,26,10,3,4,2020,26,3,2020,1,15,0,1,2020-04-10,2020-04-11,(0-15) Days,1,TARG us,1930676182.0
30,200353024,Lorem,2020,539.52,23,1,24,3,3,2020,5,3,2020,1,32,0,1,2020-03-24,2020-03-25,(0-15) Days,1,DECA ,1930607026.0
31,200704858,Lorem,2020,51778.14,15,11,26,3,3,2020,11,3,2020,1,15,0,1,2020-03-26,2020-03-27,(0-15) Days,1,WAKE ,1930637469.0
32,200762301,Lorem,2020,110885.45,15,29,13,3,4,2020,29,3,2020,1,20,0,1,2020-04-13,2020-04-14,(0-15) Days,1,C&S WH co,1930715915.0
33,200792734,Lorem,2020,29232.37,15,23,8,4,5,2020,23,4,2020,1,15,0,1,2020-05-08,2020-05-09,(0-15) Days,1,MDV/ foundation,1930822510.0
34,200762301,Lorem,2020,97652.49,15,21,6,4,5,2020,21,4,2020,1,20,0,1,2020-05-06,2020-05-07,(0-15) Days,1,C&S WH us,1930801690.0
35,200455322,Lorem,2020,49506.93,30,20,19,3,4,2020,20,3,2020,1,24,0,1,2020-04-19,2020-04-20,(0-15) Days,1,PEA co,1930669367.0
36,100054194,Lorem,2020,24585.13,52,17,8,3,5,2020,17,3,2020,1,0,0,1,2020-05-08,2020-05-09,(0-15) Days,1,MONOGR ,1930661095.0
37,200769623,Lorem,2020,82.03,15,22,6,3,4,2020,22,3,2020,1,28,0,1,2020-04-06,2020-04-07,(0-15) Days,1,WAL-MAR corporation,1930683493.0
38,200555117,Lorem,2020,34055.54,15,2,17,4,4,2020,2,4,2020,1,15,0,1,2020-04-17,2020-04-18,(0-15) Days,1,BURR co,1930729919.0
39,200891601,Lorem,2020,87478.2,30,2,1,3,4,2020,2,3,2020,1,24,0,1,2020-04-01,2020-04-02,(0-15) Days,1,POWE corp,1930573698.0
40,200726979,Lorem,2020,186.05,15,26,11,4,5,2020,26,4,2020,1,15,0,1,2020-05-11,2020-05-12,(0-15) Days,1,BJ'S  associates,1930829250.0
41,200744019,Lorem,2020,27589.35,15,25,9,3,4,2020,25,3,2020,1,15,0,1,2020-04-09,2020-04-10,(0-15) Days,1,TARG llc,1930699316.0
42,200762301,Lorem,2020,138715.45,15,2,17,3,3,2020,2,3,2020,1,20,0,1,2020-03-17,2020-03-18,(0-15) Days,1,C&S WH foundation,1930592650.0
43,200739534,Lorem,2020,64993.55,15,19,3,3,4,2020,19,3,2020,1,15,0,1,2020-04-03,2020-04-04,(0-15) Days,1,OK systems,1930673620.0
44,200418007,Lorem,2020,26036.26,15,9,24,3,3,2020,9,3,2020,1,15,0,1,2020-03-24,2020-03-25,(0-15) Days,1,AM ,1930620191.0
45,200739006,Lorem,2020,30397.51,15,17,1,3,4,2020,17,3,2020,1,15,0,1,2020-04-01,2020-04-02,(0-15) Days,1,AL foundation,1930655311.0
46,200769623,Lorem,2020,30447.79,15,3,18,5,5,2020,3,5,2020,1,28,0,1,2020-05-18,2020-05-19,(0-15) Days,1,WAL-MAR trust,1930847035.0
47,200741174,Lorem,2020,20736.13,15,17,2,4,5,2020,17,4,2020,1,15,0,1,2020-05-02,2020-05-03,(0-15) Days,1,M B  us,1930788817.0
48,200769623,Lorem,2020,32607.18,15,27,12,4,5,2020,27,4,2020,1,28,0,1,2020-05-12,2020-05-13,(0-15) Days,1,WAL-MAR systems,1930830026.0
49,200769623,Lorem,2020,10876.6,15,21,5,3,4,2020,21,3,2020,1,28,0,1,2020-04-05,2020-04-06,(0-15) Days,1,WAL-MAR us,1930673873.0
50,200759878,Lorem,2020,57272.56,15,3,18,5,5,2020,3,5,2020,1,28,0,1,2020-05-18,2020-05-19,(0-15) Days,1,SA us,1930851740.0
51,200726979,Lorem,2020,58703.25,15,24,8,3,4,2020,24,3,2020,1,15,0,1,2020-04-08,2020-04-09,(0-15) Days,1,BJ'S  co,1930681824.0
52,200793568,Lorem,2020,3521.76,15,16,31,3,3,2020,16,3,2020,1,15,0,1,2020-03-31,2020-04-01,(0-15) Days,1,SUPE trust,1930654638.0
53,200782001,Lorem,2020,53939.33,15,12,27,3,3,2020,12,3,2020,1,15,0,1,2020-03-27,2020-03-28,(0-15) Days,1,GORDO us,1930643060.0
54,200735528,Lorem,2020,160236.18,15,9,24,3,3,2020,9,3,2020,1,15,0,1,2020-03-24,2020-03-25,(0-15) Days,1,ASSOCIA corporation,1930620706.0
55,200418007,Lorem,2020,21551.8,15,16,1,4,5,2020,16,4,2020,1,15,0,1,2020-05-01,2020-05-02,(0-15) Days,1,AM us,1930787176.0
56,13,Lorem,2020,21222.0,0,29,29,2,2,2020,29,2,2020,1,43,0,11,2020-02-29,2020-03-11,(0-15) Days,1,KRAFT F foundation,1930568745.0
57,200739534,Lorem,2020,42294.31,15,26,10,3,4,2020,26,3,2020,1,15,0,1,2020-04-10,2020-04-11,(0-15) Days,1,OK llc,1930706094.0
58,200794332,Lorem,2020,2058.39,15,25,9,3,4,2020,25,3,2020,1,17,0,1,2020-04-09,2020-04-10,(0-15) Days,1,COST llc,1930685614.0
59,200769623,Lorem,2020,17364.73,15,2,17,5,5,2020,2,5,2020,1,28,0,1,2020-05-17,2020-05-18,(0-15) Days,1,WAL-MAR ,1930842294.0
60,200875006,Lorem,2020,70116.13,15,15,30,4,4,2020,15,4,2020,1,15,0,1,2020-04-30,2020-05-01,(0-15) Days,1,KROGER llc,1930793942.0
61,100035581,Lorem,2020,1690.0,15,4,19,3,3,2020,4,3,2020,1,15,0,1,2020-03-19,2020-03-20,(0-15) Days,1,LAWR us,1930601527.0
62,200759878,Lorem,2020,17761.93,15,9,24,4,4,2020,9,4,2020,1,28,0,1,2020-04-24,2020-04-25,(0-15) Days,1,SA corp,1930762373.0
63,200803720,Lorem,2020,1589.84,23,1,24,3,3,2020,7,3,2020,1,32,0,1,2020-03-24,2020-03-25,(0-15) Days,1,DEC corp,1930618834.0
64,200769623,Lorem,2020,1682.57,15,8,23,3,3,2020,8,3,2020,1,28,0,1,2020-03-23,2020-03-24,(0-15) Days,1,WAL-MAR llc,1930624513.0
65,200769623,Lorem,2020,27.46,15,2,17,5,5,2020,2,5,2020,1,28,0,1,2020-05-17,2020-05-18,(0-15) Days,1,WAL-MAR llc,1930846950.0
66,200769623,Lorem,2020,1898.2,15,31,15,3,4,2020,31,3,2020,1,28,0,1,2020-04-15,2020-04-16,(0-15) Days,1,WAL-MAR systems,1930724245.0
67,200029010,Lorem,2020,63407.67,65,14,18,3,5,2020,14,3,2020,1,27,0,-30,2020-05-18,2020-04-18,(< 0) Days,0,KROG trust,1930653343.0
68,200346918,Lorem,2020,46399.32,10,15,25,4,4,2020,15,4,2020,1,8,0,1,2020-04-25,2020-04-26,(0-15) Days,1,CULINAR corporation,1930793302.0
69,200769623,Lorem,2020,36601.67,15,21,5,3,4,2020,21,3,2020,1,28,0,1,2020-04-05,2020-04-06,(0-15) Days,1,WAL-MAR ,1930679034.0
70,200750051,Lorem,2020,40845.5,15,23,8,4,5,2020,23,4,2020,1,15,0,1,2020-05-08,2020-05-09,(0-15) Days,1,ALBER us,1930818435.0
71,200353024,Lorem,2020,1779.71,23,1,24,3,3,2020,5,3,2020,1,32,0,1,2020-03-24,2020-03-25,(0-15) Days,1,DECA co,1930606944.0
72,200704045,Lorem,2020,43367.11,15,2,17,5,5,2020,2,5,2020,1,15,0,1,2020-05-17,2020-05-18,(0-15) Days,1,RA co,1930851923.0
73,200739534,Lorem,2020,102449.56,15,27,12,4,5,2020,27,4,2020,1,15,0,1,2020-05-12,2020-05-13,(0-15) Days,1,OK in,1930829279.0
74,200772595,Lorem,2020,112209.86,15,13,28,3,3,2020,13,3,2020,1,15,0,1,2020-03-28,2020-03-29,(0-15) Days,1,SAFEW co,1930639563.0
75,200761734,Lorem,2020,76335.44,15,29,15,2,3,2020,29,2,2020,1,15,0,1,2020-03-15,2020-03-16,(0-15) Days,1,H E BUT ,1930584342.0
76,200769623,Lorem,2020,8255.33,15,1,16,4,4,2020,1,4,2020,1,28,0,1,2020-04-16,2020-04-17,(0-15) Days,1,WAL-MAR us,1930721706.0
77,200592182,Lorem,2020,299.82,23,1,24,3,3,2020,9,3,2020,1,32,0,1,2020-03-24,2020-03-25,(0-15) Days,1,DECA llc,1930624828.0
78,200769623,Lorem,2020,34497.0,15,14,29,4,4,2020,14,4,2020,1,28,0,1,2020-04-29,2020-04-30,(0-15) Days,1,WAL-MAR co,1930785374.0
79,200769623,Lorem,2020,19709.25,15,4,19,3,3,2020,4,3,2020,1,28,0,1,2020-03-19,2020-03-20,(0-15) Days,1,WAL-MAR llc,1930592973.0
80,200772670,Lorem,2020,880.87,15,13,28,3,3,2020,13,3,2020,1,33,0,1,2020-03-28,2020-03-29,(0-15) Days,1,ASSOCIAT corporation,1930644076.0
81,200780383,Lorem,2020,11104.34,15,13,28,4,4,2020,13,4,2020,1,15,0,1,2020-04-28,2020-04-29,(0-15) Days,1,MEIJ trust,1930779819.0
82,100043936,Lorem,2020,18145.19,10,11,21,5,5,2020,11,5,2020,1,8,0,1,2020-05-21,2020-05-22,(0-15) Days,1,PAPA JO associates,1930830232.0
83,200769623,Lorem,2020,12031.01,15,27,11,3,4,2020,27,3,2020,1,28,0,1,2020-04-11,2020-04-12,(0-15) Days,1,WAL-MAR foundation,1930699842.0
84,200762301,Lorem,2020,122192.54,15,5,20,4,4,2020,5,4,2020,1,20,0,1,2020-04-20,2020-04-21,(0-15) Days,1,C&S WH in,1930751601.0
85,200794332,Lorem,2020,52309.93,15,11,26,3,3,2020,11,3,2020,1,17,0,1,2020-03-26,2020-03-27,(0-15) Days,1,COST llc,1930635775.0
86,200759878,Lorem,2020,13229.08,15,14,29,4,4,2020,14,4,2020,1,28,0,1,2020-04-29,2020-04-30,(0-15) Days,1,SA llc,1930772915.0
87,200795490,Lorem,2020,33890.77,65,24,28,3,5,2020,24,3,2020,1,27,0,-21,2020-05-28,2020-05-07,(< 0) Days,0,HY -  co,1930698584.0
88,200769623,Lorem,2020,15338.56,15,10,25,5,5,2020,10,5,2020,1,28,0,1,2020-05-25,2020-05-26,(0-15) Days,1,WAL-MAR co,1930876136.0
89,200769623,Lorem,2020,10263.16,15,16,31,3,3,2020,16,3,2020,1,28,0,1,2020-03-31,2020-04-01,(0-15) Days,1,WAL-MAR corp,1930654170.0
90,200769623,Lorem,2020,3403.8,15,20,4,3,4,2020,20,3,2020,1,28,0,1,2020-04-04,2020-04-05,(0-15) Days,1,WAL-MAR associates,1930674834.0
91,200776463,Lorem,2020,91744.01,15,10,25,4,4,2020,10,4,2020,1,15,0,1,2020-04-25,2020-04-26,(0-15) Days,1,KROGE llc,1930765488.0
92,200794332,Lorem,2020,3879.82,15,24,8,3,4,2020,24,3,2020,1,17,0,1,2020-04-08,2020-04-09,(0-15) Days,1,COST ,1930682848.0
93,140106408,Lorem,2020,57788.802,10,7,17,3,3,2020,7,3,2020,0,4,0,10,2020-03-17,2020-03-27,(0-15) Days,1,WAL-M associates,2960619423.0
94,200020431,Lorem,2020,29391.22,10,1,11,5,5,2020,5,5,2020,1,30,0,1,2020-05-11,2020-05-12,(0-15) Days,1,DEC us,1930858679.0
95,200769623,Lorem,2020,28078.08,15,3,18,5,5,2020,3,5,2020,1,28,0,1,2020-05-18,2020-05-19,(0-15) Days,1,WAL-MAR systems,1930852340.0
96,200803720,Lorem,2020,4708.5,10,1,11,5,5,2020,7,5,2020,1,30,0,1,2020-05-11,2020-05-12,(0-15) Days,1,DEC systems,1930873233.0
97,200772670,Lorem,2020,1054.28,15,2,17,3,3,2020,2,3,2020,1,33,0,1,2020-03-17,2020-03-18,(0-15) Days,1,ASSOCIAT co,1930587781.0
98,200769623,Lorem,2020,18939.51,15,2,17,4,4,2020,2,4,2020,1,28,0,1,2020-04-17,2020-04-18,(0-15) Days,1,WAL-MAR foundation,1930731693.0
99,200769623,Lorem,2020,21430.66,15,5,20,5,5,2020,5,5,2020,1,28,0,1,2020-05-20,2020-05-21,(0-15) Days,1,WAL-MAR co,1930857904.0
100,200418007,Lorem,2020,47108.02,15,4,19,5,5,2020,4,5,2020,1,15,0,1,2020-05-19,2020-05-20,(0-15) Days,1,AM llc,1930853404.0
101,200769623,Lorem,2020,1316.42,15,4,19,3,3,2020,4,3,2020,1,28,0,1,2020-03-19,2020-03-20,(0-15) Days,1,WAL-MAR in,1930598432.0
102,200762301,Lorem,2020,109187.71,15,23,8,4,5,2020,23,4,2020,1,20,0,1,2020-05-08,2020-05-09,(0-15) Days,1,C&S WH foundation,1930815288.0
103,140105785,Lorem,2020,4145.1993,10,8,18,5,5,2020,8,5,2020,0,4,0,10,2020-05-18,2020-05-28,(0-15) Days,1,SHOPPE corp,2960632869.0
104,200707741,Lorem,2020,74873.48,15,21,6,4,5,2020,21,4,2020,1,15,0,1,2020-05-06,2020-05-07,(0-15) Days,1,SMART &  co,1930803970.0
105,200700919,Lorem,2020,40482.52,15,10,25,3,3,2020,10,3,2020,1,15,0,1,2020-03-25,2020-03-26,(0-15) Days,1,US  in,1930630330.0
106,200769623,Lorem,2020,10952.6,15,18,3,4,5,2020,18,4,2020,1,28,0,1,2020-05-03,2020-05-04,(0-15) Days,1,WAL-MAR associates,1930796542.0
107,200769623,Lorem,2020,46357.89,15,29,13,3,4,2020,29,3,2020,1,28,0,1,2020-04-13,2020-04-14,(0-15) Days,1,WAL-MAR us,1930719322.0
108,200769556,Lorem,2020,36117.17,15,2,17,3,3,2020,2,3,2020,1,15,0,1,2020-03-17,2020-03-18,(0-15) Days,1,SHAM in,1930585104.0
109,200769623,Lorem,2020,23286.6,15,12,27,5,5,2020,12,5,2020,1,28,0,1,2020-05-27,2020-05-28,(0-15) Days,1,WAL-MAR us,1930885106.0
110,200743129,Lorem,2020,54974.25,15,7,22,5,5,2020,7,5,2020,1,15,0,1,2020-05-22,2020-05-23,(0-15) Days,1,BROOKS ,1930876446.0
111,200793830,Lorem,2020,37415.06,15,14,29,4,4,2020,14,4,2020,1,15,0,1,2020-04-29,2020-04-30,(0-15) Days,1,M associates,1930788097.0
112,140106408,Lorem,2020,15032.879100000002,10,11,21,3,3,2020,11,3,2020,0,4,0,10,2020-03-21,2020-03-31,(0-15) Days,1,WAL-M foundation,2960620023.0
113,200774000,Lorem,2020,14404.49,15,8,23,5,5,2020,8,5,2020,1,15,0,1,2020-05-23,2020-05-24,(0-15) Days,1,RALEY ,1930879748.0
114,200772595,Lorem,2020,50416.81,15,16,1,4,5,2020,16,4,2020,1,15,0,1,2020-05-01,2020-05-02,(0-15) Days,1,SAFEW trust,1930792303.0
115,200020431,Lorem,2020,667.92,23,1,24,3,3,2020,4,3,2020,1,32,0,1,2020-03-24,2020-03-25,(0-15) Days,1,DEC corp,1930598594.0
116,200769623,Lorem,2020,24540.09,15,6,21,4,4,2020,6,4,2020,1,28,0,1,2020-04-21,2020-04-22,(0-15) Days,1,WAL-MAR ,1930739348.0
117,200769623,Lorem,2020,1898.2,15,24,8,3,4,2020,24,3,2020,1,28,0,1,2020-04-08,2020-04-09,(0-15) Days,1,WAL-MAR trust,1930687705.0
118,200148860,Lorem,2020,1815.46,65,8,12,4,6,2020,8,4,2020,1,27,0,-30,2020-06-12,2020-05-13,(< 0) Days,0,DOLLA foundation,1930756720.0
119,200769623,Lorem,2020,9103.89,15,11,26,3,3,2020,11,3,2020,1,28,0,1,2020-03-26,2020-03-27,(0-15) Days,1,WAL-MAR llc,1930635720.0
120,200501669,Lorem,2020,11306.65,35,8,13,4,5,2020,8,4,2020,2,26,0,1,2020-05-13,2020-05-14,(0-15) Days,1,WAL MA us,1990571563.0
121,2,Lorem,2020,7752.0,35,21,25,3,4,2020,21,3,2020,1,26,0,11,2020-04-25,2020-05-06,(0-15) Days,1,KRAFT  corporation,1930676126.0
122,200759878,Lorem,2020,13829.29,15,3,18,4,4,2020,3,4,2020,1,28,0,1,2020-04-18,2020-04-19,(0-15) Days,1,SA foundation,1930733293.0
123,200778998,Lorem,2020,41983.3,15,25,9,3,4,2020,25,3,2020,1,15,0,1,2020-04-09,2020-04-10,(0-15) Days,1,CE llc,1930693379.0
124,200353024,Lorem,2020,5118.28,10,1,11,5,5,2020,8,5,2020,1,30,0,1,2020-05-11,2020-05-12,(0-15) Days,1,DECA in,1930875682.0
125,200726979,Lorem,2020,142.89,15,27,12,4,5,2020,27,4,2020,1,15,0,1,2020-05-12,2020-05-13,(0-15) Days,1,BJ'S  ,1930828161.0
126,200769623,Lorem,2020,661.11,15,31,15,3,4,2020,31,3,2020,1,28,0,1,2020-04-15,2020-04-16,(0-15) Days,1,WAL-MAR systems,1930719223.0
127,200761734,Lorem,2020,15095.8,15,27,13,2,3,2020,27,2,2020,1,15,0,1,2020-03-13,2020-03-14,(0-15) Days,1,H E BUT llc,1930567745.0
128,200726979,Lorem,2020,605.56,15,23,7,3,4,2020,23,3,2020,1,15,0,1,2020-04-07,2020-04-08,(0-15) Days,1,BJ'S  in,1930688698.0
129,200744019,Lorem,2020,7651.71,15,21,5,3,4,2020,21,3,2020,1,15,0,1,2020-04-05,2020-04-06,(0-15) Days,1,TARG corporation,1930682108.0
130,200915438,Lorem,2020,17773.0,15,4,19,5,5,2020,4,5,2020,1,15,0,1,2020-05-19,2020-05-20,(0-15) Days,1,GROC in,1930839304.0
131,100047799,Lorem,2020,25080.0,45,13,27,3,4,2020,13,3,2020,5,40,0,-5,2020-04-27,2020-04-22,(< 0) Days,0,WALM trust,1991839558.0
132,200126819,Lorem,2020,4679.94,15,6,21,5,5,2020,6,5,2020,1,15,0,1,2020-05-21,2020-05-22,(0-15) Days,1,MCLANE systems,1930847254.0
133,200769623,Lorem,2020,37824.32,15,9,24,5,5,2020,9,5,2020,1,28,0,1,2020-05-24,2020-05-25,(0-15) Days,1,WAL-MAR ,1930881426.0
134,200769623,Lorem,2020,943.12,15,16,31,3,3,2020,16,3,2020,1,28,0,1,2020-03-31,2020-04-01,(0-15) Days,1,WAL-MAR corp,1930659768.0
135,200750051,Lorem,2020,69153.72,15,5,20,4,4,2020,5,4,2020,1,15,0,1,2020-04-20,2020-04-21,(0-15) Days,1,ALBER corporation,1930745080.0
136,100046487,Lorem,2020,16008.2,25,26,20,3,4,2020,26,3,2020,5,9,0,1,2020-04-20,2020-04-21,(0-15) Days,1,PAPA JOH associates,1991841258.0
137,200769623,Lorem,2020,11155.6,15,6,21,4,4,2020,6,4,2020,1,28,0,1,2020-04-21,2020-04-22,(0-15) Days,1,WAL-MAR ,1930751131.0
138,200707741,Lorem,2020,117264.41,15,4,19,5,5,2020,4,5,2020,1,15,0,1,2020-05-19,2020-05-20,(0-15) Days,1,SMART &  ,1930855283.0
139,200936373,Lorem,2020,6025.65,15,26,11,4,5,2020,26,4,2020,1,15,0,1,2020-05-11,2020-05-12,(0-15) Days,1,SUPE us,1930829402.0
140,100036066,Lorem,2020,16212.38,15,23,7,3,4,2020,23,3,2020,1,15,0,1,2020-04-07,2020-04-08,(0-15) Days,1,GROC ,1930665526.0
141,200576926,Lorem,2020,32025.0,10,8,18,4,4,2020,8,4,2020,1,8,0,1,2020-04-18,2020-04-19,(0-15) Days,1,VILA corp,1930756636.0
142,200776463,Lorem,2020,51812.02,15,11,26,3,3,2020,11,3,2020,1,15,0,1,2020-03-26,2020-03-27,(0-15) Days,1,KROGE us,1930637865.0
143,200555117,Lorem,2020,103228.44,15,20,4,3,4,2020,20,3,2020,1,15,0,1,2020-04-04,2020-04-05,(0-15) Days,1,BURR associates,1930673731.0
144,200704045,Lorem,2020,17224.98,15,13,28,4,4,2020,13,4,2020,1,15,0,1,2020-04-28,2020-04-29,(0-15) Days,1,RA ,1930773727.0
145,200762301,Lorem,2020,44749.05,15,16,1,4,5,2020,16,4,2020,1,20,0,1,2020-05-01,2020-05-02,(0-15) Days,1,C&S WH associates,1930778588.0
146,200769623,Lorem,2020,10923.74,15,22,6,3,4,2020,22,3,2020,1,28,0,1,2020-04-06,2020-04-07,(0-15) Days,1,WAL-MAR corporation,1930683948.0
147,200701314,Lorem,2020,21691.22,15,27,11,3,4,2020,27,3,2020,1,15,0,1,2020-04-11,2020-04-12,(0-15) Days,1,MBM  llc,1930695845.0
148,100015455,Lorem,2020,19463.29,15,27,13,2,3,2020,27,2,2020,1,15,0,1,2020-03-13,2020-03-14,(0-15) Days,1,PERFOR us,1930554396.0
149,200769623,Lorem,2020,17012.14,15,15,30,3,3,2020,15,3,2020,1,28,0,1,2020-03-30,2020-03-31,(0-15) Days,1,WAL-MAR foundation,1930652600.0
150,200769623,Lorem,2020,6673.84,15,3,18,3,3,2020,3,3,2020,1,28,0,1,2020-03-18,2020-03-19,(0-15) Days,1,WAL-MAR ,1930594447.0
151,200739534,Lorem,2020,60185.18,15,25,10,4,5,2020,25,4,2020,1,15,0,1,2020-05-10,2020-05-11,(0-15) Days,1,OK trust,1930827336.0
152,200769623,Lorem,2020,1898.9,15,19,3,3,4,2020,19,3,2020,1,28,0,1,2020-04-03,2020-04-04,(0-15) Days,1,WAL-MAR systems,1930674840.0
153,200464724,Lorem,2020,730985.29,10,12,22,3,3,2020,12,3,2020,1,8,0,1,2020-03-22,2020-03-23,(0-15) Days,1,LAND associates,1930643948.0
154,100026809,Lorem,2020,402.5,10,19,29,5,5,2020,19,5,2020,1,8,0,1,2020-05-29,2020-05-30,(0-15) Days,1,PRES corporation,1930916095.0
155,200936373,Lorem,2020,115186.24,15,26,10,3,4,2020,26,3,2020,1,15,0,1,2020-04-10,2020-04-11,(0-15) Days,1,SUPE ,1930692985.0
156,200769623,Lorem,2020,13353.11,15,1,16,3,3,2020,1,3,2020,1,28,0,1,2020-03-16,2020-03-17,(0-15) Days,1,WAL-MAR systems,1930582331.0
157,200943275,Lorem,2020,10492.89,15,20,5,4,5,2020,20,4,2020,1,15,0,1,2020-05-05,2020-05-06,(0-15) Days,1,US  associates,1930803062.0
158,200726979,Lorem,2020,190.38,15,10,25,4,4,2020,10,4,2020,1,15,0,1,2020-04-25,2020-04-26,(0-15) Days,1,BJ'S  associates,1930774133.0
